Payment_ID,Claim_ID,Payment_Date,Payment_Amount,Payment_Status,Payment_Mode
PAY00000029,CLM0000036,2022-03-27,4814.84,Pending,Online
PAY00000030,CLM0000037,2024-10-09,24181.94,Completed,Bank Transfer
PAY00000031,CLM0000038,2023-10-26,104731.17,Completed,Bank Transfer
PAY00000032,CLM0000039,2024-06-19,28726.98,Completed,Bank Transfer
PAY00000033,CLM0000040,2024-02-12,36661.68,Completed,Bank Transfer
PAY00000034,CLM0000043,2022-01-03,20021.21,Completed,Cheque
PAY00000035,CLM0000044,2024-01-07,3285.89,Completed,Bank Transfer
PAY00000036,CLM0000046,2024-12-15,3372.51,Completed,Bank Transfer
PAY00000037,CLM0000046,2024-12-15,17653.26,Completed,Bank Transfer
PAY00000038,CLM0000047,2022-04-19,4757.37,Completed,Online
PAY00000039,CLM0000050,2024-10-05,8956.7,Completed,Online
PAY00000040,CLM0000052,2024-08-27,27482.32,Completed,Online
PAY00000041,CLM0000052,2024-08-27,3588.41,Completed,Online
PAY00000042,CLM0000053,2023-04-04,25889.67,Pending,Bank Transfer
PAY00000043,CLM0000053,2023-04-04,10665.99,Completed,Cheque
PAY00000044,CLM0000057,2024-09-05,6978.07,Completed,Bank Transfer
PAY00000045,CLM0000060,2023-03-05,13211.09,Completed,Bank Transfer
PAY00000046,CLM0000061,2024-07-07,8551.34,Pending,Online
PAY00000047,CLM0000062,2024-06-30,3072.2,Completed,Bank Transfer
PAY00000048,CLM0000063,2025-05-26,36141.68,Completed,Online
PAY00000049,CLM0000067,2025-04-25,47603.15,Completed,Online
PAY00000050,CLM0000069,2023-08-24,5485.61,Completed,Bank Transfer
PAY00000051,CLM0000071,2024-02-25,104266.91,Completed,Bank Transfer
PAY00000052,CLM0000071,2024-02-25,34652.79,Completed,Bank Transfer
PAY00000053,CLM0000074,2022-05-09,12591.55,Completed,Bank Transfer
PAY00000054,CLM0000076,2025-11-21,17454.31,Completed,Online
PAY00000055,CLM0000077,2025-05-02,1680.63,Completed,Bank Transfer
PAY00000056,CLM0000077,2025-05-02,2890.69,Completed,Online
PAY00000057,CLM0000082,2023-07-17,43571.04,Completed,Bank Transfer
PAY00000058,CLM0000083,2025-05-11,12381.47,Completed,Cheque
PAY00000059,CLM0000083,2025-05-11,1063.42,Completed,Bank Transfer
PAY00000060,CLM0000084,2022-10-21,47795.27,Completed,Bank Transfer
PAY00000061,CLM0000085,2024-11-03,19809.93,Completed,Online
PAY00000062,CLM0000086,2023-07-17,22603.58,Completed,Bank Transfer
PAY00000063,CLM0000087,2022-05-13,2734.54,Completed,Bank Transfer
PAY00000064,CLM0000087,2022-05-13,1812.45,Completed,Bank Transfer
PAY00000065,CLM0000090,2024-04-30,62192.89,Completed,Bank Transfer
PAY00000066,CLM0000091,2024-10-12,6852.14,Completed,Bank Transfer
PAY00000067,CLM0000091,2024-10-12,2870.3,Completed,Online
PAY00000068,CLM0000092,2025-04-16,14274.73,Completed,Bank Transfer
PAY00000069,CLM0000093,2022-11-11,31083.92,Completed,Bank Transfer
PAY00000070,CLM0000094,2025-09-11,14084.1,Completed,Bank Transfer
PAY00000071,CLM0000094,2025-09-11,17349.41,Completed,Online
PAY00000072,CLM0000098,2024-11-23,37034.63,Completed,Bank Transfer
PAY00000073,CLM0000098,2024-11-23,14207.29,Completed,Online
PAY00000074,CLM0000099,2025-01-30,12247.9,Completed,Bank Transfer
PAY00000075,CLM0000102,2025-05-10,41524.51,Completed,Bank Transfer
PAY00000076,CLM0000103,2025-12-01,4975.71,Completed,Bank Transfer
PAY00000077,CLM0000103,2025-12-01,817.26,Completed,Bank Transfer
PAY00000078,CLM0000104,2022-10-08,14642.11,Completed,Bank Transfer
PAY00000079,CLM0000105,2025-04-13,12940.66,Completed,Bank Transfer
PAY00000080,CLM0000108,2024-03-21,39145.09,Completed,Bank Transfer
PAY00000081,CLM0000111,2023-06-15,16906.45,Completed,Bank Transfer
PAY00000082,CLM0000111,2023-06-15,451.17,Completed,Online
PAY00000083,CLM0000112,2022-03-28,2345.14,Completed,Cheque
PAY00000084,CLM0000112,2022-03-28,14608.24,Completed,Online
PAY00000085,CLM0000114,2025-08-20,2120.84,Completed,Cheque
PAY00000086,CLM0000114,2025-08-20,3980.59,Completed,Online
PAY00000087,CLM0000117,2023-06-18,17017.93,Completed,Online
PAY00000088,CLM0000117,2023-06-18,20649.05,Completed,Bank Transfer
PAY00000089,CLM0000118,2025-08-22,9677.73,Pending,Bank Transfer
PAY00000090,CLM0000120,2025-07-16,1000.69,Completed,Online
PAY00000091,CLM0000120,2025-07-16,50957.81,Pending,Bank Transfer
PAY00000092,CLM0000121,2025-05-23,78358.91,Completed,Online
PAY00000093,CLM0000122,2024-12-17,151.91,Completed,Online
PAY00000094,CLM0000122,2024-12-17,2173.83,Completed,Bank Transfer
PAY00000095,CLM0000123,2022-12-10,8792.19,Completed,Online
PAY00000096,CLM0000124,2022-11-04,6772.84,Completed,Bank Transfer
PAY00000097,CLM0000128,2022-04-07,125697.27,Completed,Bank Transfer
PAY00000098,CLM0000129,2024-06-10,2976.94,Completed,Bank Transfer
PAY00000099,CLM0000132,2025-10-18,12899.86,Completed,Bank Transfer
PAY00000100,CLM0000133,2023-04-17,4182.76,Completed,Bank Transfer
PAY00000101,CLM0000134,2025-05-02,6368.61,Completed,Bank Transfer
PAY00000102,CLM0000134,2025-05-02,3427.81,Completed,Bank Transfer
PAY00000103,CLM0000135,2025-07-08,5215.38,Completed,Bank Transfer
PAY00000104,CLM0000136,2025-07-04,4596.64,Completed,Bank Transfer
PAY00000105,CLM0000137,2023-09-07,12908.9,Completed,Bank Transfer
PAY00000106,CLM0000138,2024-01-22,10109.91,Completed,Bank Transfer
PAY00000107,CLM0000139,2023-12-16,1809.68,Completed,Bank Transfer
PAY00000108,CLM0000140,2025-04-13,30821.94,Completed,Bank Transfer
PAY00000109,CLM0000143,2025-04-12,14185.01,Completed,Bank Transfer
PAY00000110,CLM0000145,2022-10-20,3204.33,Completed,Online
PAY00000111,CLM0000146,2022-08-04,31658.74,Completed,Bank Transfer
PAY00000112,CLM0000146,2022-08-04,8527.82,Completed,Bank Transfer
PAY00000113,CLM0000147,2024-12-11,7309.41,Completed,Bank Transfer
PAY00000114,CLM0000148,2026-03-03,5463.38,Completed,Bank Transfer
PAY00000115,CLM0000149,2022-07-27,23163.28,Completed,Cheque
PAY00000116,CLM0000150,2024-01-18,7637.82,Completed,Cheque
PAY00000117,CLM0000151,2022-02-03,8440.22,Completed,Bank Transfer
PAY00000118,CLM0000153,2023-04-21,56012.5,Completed,Bank Transfer
PAY00000119,CLM0000155,2025-04-28,2497.1,Completed,Bank Transfer
PAY00000120,CLM0000155,2025-04-28,2280.04,Completed,Cheque
PAY00000121,CLM0000157,2025-12-14,5638.29,Completed,Online
PAY00000122,CLM0000158,2025-06-27,24261.64,Pending,Online
PAY00000123,CLM0000159,2024-03-09,3284.45,Completed,Bank Transfer
PAY00000124,CLM0000163,2023-02-09,54687.45,Completed,Online
PAY00000125,CLM0000164,2024-06-21,5909.76,Completed,Online
PAY00000126,CLM0000164,2024-06-21,13019.32,Completed,Online
PAY00000127,CLM0000165,2022-12-09,4831.91,Completed,Bank Transfer
PAY00000128,CLM0000165,2022-12-09,24366.63,Completed,Bank Transfer
PAY00000129,CLM0000166,2024-07-24,6064.28,Completed,Bank Transfer
PAY00000130,CLM0000167,2024-09-28,6424.03,Completed,Bank Transfer
PAY00000131,CLM0000167,2024-09-28,2161.96,Completed,Bank Transfer
PAY00000132,CLM0000168,2022-06-22,1709.45,Completed,Online
PAY00000133,CLM0000168,2022-06-22,16435.03,Completed,Cheque
PAY00000134,CLM0000169,2024-07-03,8282.24,Completed,Bank Transfer
PAY00000135,CLM0000169,2024-07-03,17034.71,Pending,Bank Transfer
PAY00000136,CLM0000170,2023-05-08,41410.06,Completed,Bank Transfer
PAY00000137,CLM0000171,2022-06-15,11486.87,Pending,Cheque
PAY00000138,CLM0000172,2023-05-07,32634.81,Completed,Bank Transfer
PAY00000139,CLM0000173,2022-02-05,27069.67,Completed,Bank Transfer
PAY00000140,CLM0000173,2022-02-05,24859.75,Completed,Bank Transfer
PAY00000141,CLM0000175,2023-07-29,1928.21,Completed,Bank Transfer
PAY00000142,CLM0000179,2024-07-18,8177.47,Completed,Bank Transfer
PAY00000143,CLM0000181,2026-02-22,3813.89,Completed,Bank Transfer
PAY00000144,CLM0000182,2023-11-26,5936.13,Pending,Bank Transfer
PAY00000145,CLM0000183,2023-11-10,5729.83,Completed,Bank Transfer
PAY00000146,CLM0000186,2025-04-10,14412.3,Completed,Bank Transfer
PAY00000147,CLM0000188,2025-04-01,18792.1,Pending,Bank Transfer
PAY00000148,CLM0000190,2023-06-15,448.19,Completed,Online
PAY00000149,CLM0000190,2023-06-15,1863.71,Completed,Online
PAY00000150,CLM0000191,2022-08-25,17413.51,Completed,Bank Transfer
PAY00000151,CLM0000193,2022-08-16,4711.08,Completed,Online
PAY00000152,CLM0000194,2024-07-03,2312.1,Completed,Cheque
PAY00000153,CLM0000194,2024-07-03,302.47,Completed,Bank Transfer
PAY00000154,CLM0000195,2024-12-08,13179.12,Completed,Bank Transfer
PAY00000155,CLM0000195,2024-12-08,1437.51,Completed,Cheque
PAY00000156,CLM0000198,2023-08-01,18667.34,Completed,Bank Transfer
PAY00000157,CLM0000199,2025-05-08,36786.03,Completed,Bank Transfer
PAY00000158,CLM0000200,2024-07-31,11885.58,Completed,Online
PAY00000159,CLM0000200,2024-07-31,2273.45,Completed,Online
PAY00000160,CLM0000202,2022-06-09,10234.79,Completed,Bank Transfer
PAY00000161,CLM0000205,2025-02-09,49347.12,Completed,Bank Transfer
PAY00000162,CLM0000205,2025-02-09,147.73,Completed,Bank Transfer
PAY00000163,CLM0000206,2022-12-17,5832.05,Completed,Online
PAY00000164,CLM0000206,2022-12-17,10407.42,Completed,Online
PAY00000165,CLM0000207,2024-12-12,33821.79,Completed,Online
PAY00000166,CLM0000209,2025-01-29,29295.48,Completed,Bank Transfer
PAY00000167,CLM0000214,2023-12-08,15890.77,Completed,Bank Transfer
PAY00000168,CLM0000215,2025-05-29,2001.87,Pending,Bank Transfer
PAY00000169,CLM0000215,2025-05-29,19383.75,Completed,Online
PAY00000170,CLM0000218,2025-12-16,3295.75,Completed,Bank Transfer
PAY00000171,CLM0000220,2025-06-21,23509.94,Pending,Online
PAY00000172,CLM0000221,2024-04-23,19013.16,Completed,Cheque
PAY00000173,CLM0000224,2025-03-26,14893.88,Completed,Online
PAY00000174,CLM0000225,2022-12-27,19000.59,Completed,Bank Transfer
PAY00000175,CLM0000226,2023-11-04,37981.32,Completed,Bank Transfer
PAY00000176,CLM0000228,2025-12-05,51227.89,Completed,Bank Transfer
PAY00000177,CLM0000233,2025-01-19,71548.09,Completed,Bank Transfer
PAY00000178,CLM0000235,2022-07-29,5500.17,Completed,Online
PAY00000179,CLM0000236,2025-12-10,28377.99,Completed,Bank Transfer
PAY00000180,CLM0000236,2025-12-10,22747.15,Completed,Bank Transfer
PAY00000181,CLM0000238,2023-11-01,6437.66,Completed,Bank Transfer
PAY00000182,CLM0000238,2023-11-01,3139.91,Completed,Bank Transfer
PAY00000183,CLM0000241,2024-08-12,10897.87,Completed,Bank Transfer
PAY00000184,CLM0000241,2024-08-12,3477.08,Completed,Bank Transfer
PAY00000185,CLM0000242,2023-10-03,16594.18,Completed,Cheque
PAY00000186,CLM0000244,2023-07-17,43753.35,Completed,Bank Transfer
PAY00000187,CLM0000245,2025-02-21,55720.63,Pending,Online
PAY00000188,CLM0000246,2022-08-23,6685.33,Completed,Bank Transfer
PAY00000189,CLM0000247,2022-07-24,29800.58,Completed,Bank Transfer
PAY00000190,CLM0000248,2024-09-29,12704.6,Completed,Bank Transfer
PAY00000191,CLM0000249,2024-08-20,22548.63,Completed,Bank Transfer
PAY00000192,CLM0000253,2023-02-15,3352.26,Completed,Bank Transfer
PAY00000193,CLM0000253,2023-02-15,9940.96,Completed,Bank Transfer
PAY00000194,CLM0000254,2025-03-11,24961.85,Completed,Bank Transfer
PAY00000195,CLM0000257,2024-09-27,3364.13,Completed,Cheque
PAY00000196,CLM0000257,2024-09-27,9857.94,Completed,Online
PAY00000197,CLM0000258,2025-02-19,27976.16,Completed,Bank Transfer
PAY00000198,CLM0000259,2022-02-14,4677.07,Pending,Bank Transfer
PAY00000199,CLM0000260,2025-03-28,7278.86,Completed,Bank Transfer
PAY00000200,CLM0000260,2025-03-28,8877.43,Completed,Bank Transfer
PAY00000201,CLM0000263,2022-03-08,16678.95,Completed,Online
PAY00000202,CLM0000267,2022-08-12,7021.95,Completed,Bank Transfer
PAY00000203,CLM0000267,2022-08-12,20425.39,Completed,Online
PAY00000204,CLM0000268,2022-12-20,27355.56,Completed,Bank Transfer
PAY00000205,CLM0000268,2022-12-20,430.87,Completed,Bank Transfer
PAY00000206,CLM0000270,2025-11-26,12070.96,Completed,Bank Transfer
PAY00000207,CLM0000273,2024-12-18,59716.45,Completed,Bank Transfer
PAY00000208,CLM0000274,2024-01-19,36600.52,Completed,Online
PAY00000209,CLM0000281,2022-02-09,14997.56,Completed,Bank Transfer
PAY00000210,CLM0000284,2024-01-11,47127.77,Completed,Bank Transfer
PAY00000211,CLM0000285,2022-09-24,22038.4,Pending,Cheque
PAY00000212,CLM0000285,2022-09-24,1756.66,Completed,Bank Transfer
PAY00000213,CLM0000288,2024-12-21,14460.58,Completed,Bank Transfer
PAY00000214,CLM0000288,2024-12-21,8617.45,Completed,Bank Transfer
PAY00000215,CLM0000289,2022-10-02,20755.39,Completed,Online
PAY00000216,CLM0000290,2025-09-08,17583.8,Completed,Bank Transfer
PAY00000217,CLM0000290,2025-09-08,23439.96,Completed,Bank Transfer
PAY00000218,CLM0000293,2025-05-18,7555.39,Completed,Online
PAY00000219,CLM0000294,2023-04-07,19605.86,Completed,Bank Transfer
PAY00000220,CLM0000294,2023-04-07,13262,Completed,Bank Transfer
PAY00000221,CLM0000295,2024-04-24,10513.34,Completed,Bank Transfer
PAY00000222,CLM0000297,2023-07-11,12895.28,Completed,Bank Transfer
PAY00000223,CLM0000298,2024-04-16,34939.56,Completed,Bank Transfer
PAY00000224,CLM0000301,2024-08-01,56592.08,Completed,Bank Transfer
PAY00000225,CLM0000301,2024-08-01,723.03,Completed,Bank Transfer
PAY00000226,CLM0000304,2022-06-02,128.78,Completed,Bank Transfer
PAY00000227,CLM0000304,2022-06-02,7350.63,Completed,Online
PAY00000228,CLM0000305,2025-03-07,9470.56,Completed,Bank Transfer
PAY00000229,CLM0000306,2025-11-13,11016.84,Completed,Bank Transfer
PAY00000230,CLM0000309,2025-11-23,9952.68,Completed,Bank Transfer
PAY00000231,CLM0000310,2024-07-14,9434.26,Completed,Online
PAY00000232,CLM0000310,2024-07-14,7016.37,Completed,Cheque
PAY00000233,CLM0000312,2022-07-09,14842,Completed,Bank Transfer
PAY00000234,CLM0000312,2022-07-09,7626.45,Completed,Online
PAY00000235,CLM0000315,2022-10-06,26460.14,Completed,Bank Transfer
PAY00000236,CLM0000316,2023-12-14,5995.03,Completed,Bank Transfer
PAY00000237,CLM0000320,2025-07-07,8877.58,Completed,Bank Transfer
PAY00000238,CLM0000320,2025-07-07,2029.67,Completed,Bank Transfer
PAY00000239,CLM0000322,2024-12-24,1875.03,Pending,Bank Transfer
PAY00000240,CLM0000323,2024-04-07,15380.97,Completed,Online
PAY00000241,CLM0000324,2022-08-16,8366.75,Completed,Bank Transfer
PAY00000242,CLM0000324,2022-08-16,4745.26,Completed,Bank Transfer
PAY00000243,CLM0000326,2024-04-28,16065.85,Completed,Online
PAY00000244,CLM0000327,2023-11-03,18978.16,Completed,Bank Transfer
PAY00000245,CLM0000332,2024-05-17,13117.69,Completed,Bank Transfer
PAY00000246,CLM0000333,2023-12-18,14365.93,Completed,Online
PAY00000247,CLM0000333,2023-12-18,11188.38,Pending,Online
PAY00000248,CLM0000334,2025-03-26,18207.9,Completed,Online
PAY00000249,CLM0000334,2025-03-26,6307.87,Completed,Bank Transfer
PAY00000250,CLM0000339,2023-02-12,34591.58,Completed,Bank Transfer
PAY00000251,CLM0000340,2024-01-11,102438.21,Completed,Online
PAY00000252,CLM0000341,2023-02-21,18952.08,Completed,Online
PAY00000253,CLM0000341,2023-02-21,1056.05,Completed,Bank Transfer
PAY00000254,CLM0000342,2024-04-19,15969.08,Completed,Bank Transfer
PAY00000255,CLM0000345,2025-08-08,4713.45,Completed,Bank Transfer
PAY00000256,CLM0000347,2023-06-22,4907.41,Completed,Bank Transfer
PAY00000257,CLM0000347,2023-06-22,6986.6,Completed,Online
PAY00000258,CLM0000348,2023-09-15,8318.41,Completed,Bank Transfer
PAY00000259,CLM0000349,2022-07-26,11382.81,Completed,Bank Transfer
PAY00000260,CLM0000349,2022-07-26,6506.48,Completed,Bank Transfer
PAY00000261,CLM0000350,2024-02-12,35012.57,Completed,Bank Transfer
PAY00000262,CLM0000351,2025-09-12,9478.89,Completed,Bank Transfer
PAY00000263,CLM0000352,2023-07-26,10091.99,Completed,Bank Transfer
PAY00000264,CLM0000355,2024-03-14,6846.85,Completed,Bank Transfer
PAY00000265,CLM0000356,2022-04-14,8905.55,Completed,Bank Transfer
PAY00000266,CLM0000358,2026-01-20,14125.33,Completed,Online
PAY00000267,CLM0000360,2025-09-22,4891.17,Completed,Bank Transfer
PAY00000268,CLM0000360,2025-09-22,9579.1,Completed,Bank Transfer
PAY00000269,CLM0000361,2025-12-23,22112.11,Completed,Online
PAY00000270,CLM0000361,2025-12-23,646.92,Pending,Bank Transfer
PAY00000271,CLM0000362,2022-08-29,5946.33,Completed,Bank Transfer
PAY00000272,CLM0000363,2023-07-01,18270.96,Completed,Bank Transfer
PAY00000273,CLM0000364,2024-02-28,51387.81,Completed,Bank Transfer
PAY00000274,CLM0000367,2024-05-12,41558.27,Completed,Online
PAY00000275,CLM0000368,2023-06-25,2880.2,Completed,Bank Transfer
PAY00000276,CLM0000368,2023-06-25,2527.86,Completed,Bank Transfer
PAY00000277,CLM0000369,2026-05-01,5337.37,Completed,Bank Transfer
PAY00000278,CLM0000371,2022-04-14,2147.23,Completed,Bank Transfer
PAY00000279,CLM0000371,2022-04-14,36894.98,Completed,Bank Transfer
PAY00000280,CLM0000372,2023-12-11,51876.77,Completed,Bank Transfer
PAY00000281,CLM0000373,2023-12-14,2798.28,Completed,Online
PAY00000282,CLM0000375,2023-05-12,36330.87,Completed,Online
PAY00000283,CLM0000378,2022-07-02,7838.21,Completed,Bank Transfer
PAY00000284,CLM0000378,2022-07-02,708.9,Completed,Bank Transfer
PAY00000285,CLM0000381,2025-10-16,10577.58,Completed,Bank Transfer
PAY00000286,CLM0000382,2024-09-09,3210.34,Completed,Online
PAY00000287,CLM0000382,2024-09-09,5623.06,Completed,Bank Transfer
PAY00000288,CLM0000384,2024-11-10,12656.18,Completed,Bank Transfer
PAY00000289,CLM0000384,2024-11-10,8343.75,Completed,Bank Transfer
PAY00000290,CLM0000386,2022-12-29,24528.25,Completed,Bank Transfer
PAY00000291,CLM0000387,2024-04-13,5750.87,Completed,Cheque
PAY00000292,CLM0000389,2025-09-24,15311.39,Completed,Online
PAY00000293,CLM0000391,2023-11-16,15351.31,Pending,Bank Transfer
PAY00000294,CLM0000396,2025-09-11,36130.5,Completed,Bank Transfer
PAY00000295,CLM0000399,2023-05-26,14647.96,Completed,Cheque
PAY00000296,CLM0000400,2024-03-19,37394.62,Completed,Bank Transfer
PAY00000297,CLM0000403,2026-06-02,74216.29,Completed,Bank Transfer
PAY00000298,CLM0000404,2025-04-13,16606.95,Completed,Bank Transfer
PAY00000299,CLM0000406,2023-11-02,44878.47,Pending,Bank Transfer
PAY00000300,CLM0000407,2023-06-05,976.66,Completed,Online
PAY00000301,CLM0000407,2023-06-05,6647.7,Pending,Cheque
PAY00000302,CLM0000409,2025-02-07,2950.7,Completed,Bank Transfer
PAY00000303,CLM0000410,2023-03-06,2584.44,Completed,Bank Transfer
PAY00000304,CLM0000410,2023-03-06,34627.66,Completed,Bank Transfer
PAY00000305,CLM0000412,2022-03-23,23711.41,Completed,Online
PAY00000306,CLM0000414,2023-09-04,19614.63,Pending,Bank Transfer
PAY00000307,CLM0000423,2022-09-15,17260.61,Completed,Bank Transfer
PAY00000308,CLM0000426,2024-07-25,34006.93,Pending,Bank Transfer
PAY00000309,CLM0000426,2024-07-25,39503.41,Completed,Bank Transfer
PAY00000310,CLM0000429,2022-03-11,28898.59,Completed,Bank Transfer
PAY00000311,CLM0000430,2025-09-07,15441.32,Completed,Bank Transfer
PAY00000312,CLM0000432,2025-07-14,801.22,Completed,Online
PAY00000313,CLM0000432,2025-07-14,6856.11,Pending,Bank Transfer
PAY00000314,CLM0000434,2025-02-23,27918.13,Completed,Bank Transfer
PAY00000315,CLM0000435,2025-12-18,12477.3,Completed,Bank Transfer
PAY00000316,CLM0000436,2024-07-26,8096.51,Completed,Bank Transfer
PAY00000317,CLM0000436,2024-07-26,2148.53,Completed,Bank Transfer
PAY00000318,CLM0000438,2023-11-10,25849.16,Completed,Bank Transfer
PAY00000319,CLM0000439,2022-05-23,5106.14,Completed,Online
PAY00000320,CLM0000440,2022-07-26,9075.19,Completed,Bank Transfer
PAY00000321,CLM0000441,2023-10-28,7692.39,Completed,Cheque
PAY00000322,CLM0000442,2022-11-22,7935.09,Completed,Bank Transfer
PAY00000323,CLM0000442,2022-11-22,5539.32,Completed,Bank Transfer
PAY00000324,CLM0000443,2023-04-29,1924.14,Completed,Bank Transfer
PAY00000325,CLM0000443,2023-04-29,6491.48,Completed,Online
PAY00000326,CLM0000445,2023-10-15,17541.99,Completed,Bank Transfer
PAY00000327,CLM0000448,2024-11-04,7667.46,Completed,Bank Transfer
PAY00000328,CLM0000449,2022-06-11,7273.45,Completed,Bank Transfer
PAY00000329,CLM0000450,2022-06-27,11131.45,Completed,Bank Transfer
PAY00000330,CLM0000451,2025-05-04,10879.55,Completed,Online
PAY00000331,CLM0000452,2024-11-11,9657.53,Completed,Bank Transfer
PAY00000332,CLM0000453,2023-06-02,42580.95,Completed,Bank Transfer
PAY00000333,CLM0000453,2023-06-02,1124.87,Pending,Bank Transfer
PAY00000334,CLM0000454,2022-05-29,11180.51,Completed,Bank Transfer
PAY00000335,CLM0000455,2022-08-12,50361.39,Completed,Bank Transfer
PAY00000336,CLM0000456,2023-02-12,24751.52,Completed,Bank Transfer
PAY00000337,CLM0000457,2022-05-12,39555.38,Completed,Bank Transfer
PAY00000338,CLM0000459,2024-06-11,9481.13,Completed,Bank Transfer
PAY00000339,CLM0000459,2024-06-11,22257.5,Completed,Bank Transfer
PAY00000340,CLM0000460,2023-11-10,30123.74,Completed,Bank Transfer
PAY00000341,CLM0000462,2022-12-25,5267.1,Completed,Bank Transfer
PAY00000342,CLM0000464,2023-01-08,5765.21,Completed,Bank Transfer
PAY00000343,CLM0000464,2023-01-08,19943.05,Completed,Online
PAY00000344,CLM0000466,2025-02-18,78642.59,Completed,Bank Transfer
PAY00000345,CLM0000469,2025-08-09,6354.01,Completed,Bank Transfer
PAY00000346,CLM0000471,2024-02-23,17423.2,Completed,Bank Transfer
PAY00000347,CLM0000471,2024-02-23,758.87,Completed,Bank Transfer
PAY00000348,CLM0000472,2025-03-07,11129.38,Completed,Cheque
PAY00000349,CLM0000472,2025-03-07,9354.57,Completed,Bank Transfer
PAY00000350,CLM0000473,2022-05-16,13513.45,Completed,Bank Transfer
PAY00000351,CLM0000475,2024-12-17,14885.27,Completed,Online
PAY00000352,CLM0000476,2023-08-20,51864.21,Completed,Bank Transfer
PAY00000353,CLM0000476,2023-08-20,19852.19,Completed,Bank Transfer
PAY00000354,CLM0000480,2023-02-26,33.02,Pending,Bank Transfer
PAY00000355,CLM0000480,2023-02-26,1884.16,Completed,Cheque
PAY00000356,CLM0000481,2023-08-26,16117.81,Completed,Online
PAY00000357,CLM0000482,2024-09-04,2087.95,Completed,Bank Transfer
PAY00000358,CLM0000482,2024-09-04,15324.86,Completed,Online
PAY00000359,CLM0000485,2024-12-10,3592.94,Completed,Bank Transfer
PAY00000360,CLM0000485,2024-12-10,2208.87,Completed,Bank Transfer
PAY00000361,CLM0000487,2023-12-14,29105.55,Completed,Bank Transfer
PAY00000362,CLM0000488,2025-10-09,7374.62,Completed,Bank Transfer
PAY00000363,CLM0000490,2023-12-01,16645.77,Completed,Bank Transfer
PAY00000364,CLM0000492,2025-06-20,62277.38,Completed,Bank Transfer
PAY00000365,CLM0000493,2023-06-20,41773.48,Completed,Cheque
PAY00000366,CLM0000496,2023-04-06,103390.55,Pending,Bank Transfer
PAY00000367,CLM0000497,2024-07-17,11557.97,Completed,Bank Transfer
PAY00000368,CLM0000501,2025-12-08,16767.51,Completed,Bank Transfer
PAY00000369,CLM0000502,2023-08-29,6020.25,Completed,Bank Transfer
PAY00000370,CLM0000502,2023-08-29,5126.07,Completed,Cheque
PAY00000371,CLM0000503,2022-03-09,46407.04,Completed,Bank Transfer
PAY00000372,CLM0000504,2023-12-03,30866.66,Completed,Cheque
PAY00000373,CLM0000504,2023-12-03,3243.61,Completed,Cheque
PAY00000374,CLM0000505,2025-10-15,992.39,Completed,Online
PAY00000375,CLM0000505,2025-10-15,5006.34,Completed,Online
PAY00000376,CLM0000506,2024-02-21,8582.03,Pending,Cheque
PAY00000377,CLM0000506,2024-02-21,2206.22,Completed,Bank Transfer
PAY00000378,CLM0000510,2023-02-19,18702.95,Completed,Bank Transfer
PAY00000379,CLM0000511,2024-07-20,8626.94,Completed,Bank Transfer
PAY00000380,CLM0000512,2023-03-28,5866.06,Completed,Bank Transfer
