Agent_ID,Agent_Name,Region_ID,Agent_Type,Joining_Date,Experience_Years
A0039,Agent 0039,R004,Broker,2024-05-25,13
A0040,Agent 0040,R004,Direct,2019-08-30,12
A0041,Agent 0041,R001,Corporate,2022-03-22,15
A0042,Agent 0042,R003,Direct,2023-11-24,14
A0043,Agent 0043,R005,Corporate,2020-12-03,2
A0044,Agent 0044,R003,Direct,2020-01-21,13
A0045,Agent 0045,R005,Direct,2019-04-14,3
A0046,Agent 0046,R001,Direct,2021-12-29,2
A0047,Agent 0047,R002,Broker,2024-06-08,3
A0048,Agent 0048,R004,Broker,2022-06-06,7
A0049,Agent 0049,R001,Direct,2019-04-05,1
A0050,Agent 0050,R004,Direct,2017-02-20,10
A0051,Agent 0051,R006,Broker,2018-07-29,8
A0052,Agent 0052,R002,Broker,2025-06-12,13
A0053,Agent 0053,R002,Direct,2020-02-23,10
A0054,Agent 0054,R001,Direct,2023-07-01,10
A0055,Agent 0055,R002,Direct,2023-06-20,10
A0056,Agent 0056,R005,Broker,2024-02-03,14
A0057,Agent 0057,R002,Direct,2023-11-06,2
A0058,Agent 0058,R004,Corporate,2021-12-09,3
A0059,Agent 0059,R004,Direct,2018-11-13,9
A0060,Agent 0060,R004,Broker,2019-04-18,7
A0061,Agent 0061,R004,Broker,2019-12-14,4
A0062,Agent 0062,R005,Direct,2025-09-05,10
A0063,Agent 0063,R003,Direct,2023-10-28,5
A0064,Agent 0064,R006,Broker,2024-04-14,2
A0065,Agent 0065,R001,Corporate,2025-04-29,13
A0066,Agent 0066,R004,Direct,2023-01-05,11
A0067,Agent 0067,R002,Direct,2025-07-22,13
A0068,Agent 0068,R004,Broker,2021-05-15,8
A0069,Agent 0069,R002,Broker,2025-10-05,4
A0070,Agent 0070,R006,Direct,2017-05-01,9
A0071,Agent 0071,R006,Direct,2020-01-02,5
A0072,Agent 0072,R006,Corporate,2020-04-05,13
A0073,Agent 0073,R002,Direct,2019-02-13,9
A0074,Agent 0074,R004,Direct,2019-05-27,4
A0075,Agent 0075,R006,Broker,2019-09-19,10
A0076,Agent 0076,R005,Broker,2025-10-01,5
A0077,Agent 0077,R002,Broker,2017-02-16,9
A0078,Agent 0078,R002,Direct,2024-12-24,8
A0079,Agent 0079,R004,Direct,2024-10-11,3
A0080,Agent 0080,R002,Broker,2025-03-03,1
A0081,Agent 0081,R002,Direct,2024-05-27,3
A0082,Agent 0082,R006,Direct,2017-09-26,4
A0083,Agent 0083,R004,Corporate,2018-05-01,2
A0084,Agent 0084,R006,Direct,2018-09-28,1
A0085,Agent 0085,R006,Direct,2020-04-02,7
A0086,Agent 0086,R004,Corporate,2021-08-21,8
A0087,Agent 0087,R001,Corporate,2021-10-08,7
A0088,Agent 0088,R006,Broker,2018-10-19,14
A0089,Agent 0089,R005,Corporate,2017-04-30,5
A0090,Agent 0090,R005,Direct,2019-11-04,12
A0091,Agent 0091,R002,Direct,2021-12-16,1
A0092,Agent 0092,R005,Broker,2019-12-18,7
A0093,Agent 0093,R002,Broker,2022-05-29,13
A0094,Agent 0094,R001,Corporate,2020-01-10,7
A0095,Agent 0095,R004,Direct,2019-11-01,9
A0096,Agent 0096,R004,Corporate,2017-04-27,3
A0097,Agent 0097,R004,Corporate,2022-01-28,9
A0098,Agent 0098,R005,Corporate,2024-09-10,14
A0099,Agent 0099,R001,Broker,2020-02-25,1
A0100,Agent 0100,R005,Broker,2022-04-16,1
A0101,Agent 0101,R005,Broker,2019-10-10,14
A0102,Agent 0102,R001,Direct,2021-07-23,4
A0103,Agent 0103,R001,Corporate,2019-12-18,9
A0104,Agent 0104,R001,Corporate,2018-09-26,6
A0105,Agent 0105,R001,Direct,2018-05-28,13
A0106,Agent 0106,R004,Direct,2024-10-20,11
A0107,Agent 0107,R003,Direct,2020-01-25,3
A0108,Agent 0108,R003,Direct,2020-02-16,1
A0109,Agent 0109,R001,Corporate,2018-07-14,4
A0110,Agent 0110,R003,Direct,2018-03-05,12
A0111,Agent 0111,R003,Direct,2019-06-16,13
A0112,Agent 0112,R001,Direct,2020-04-27,9
A0113,Agent 0113,R003,Direct,2018-05-12,3
A0114,Agent 0114,R005,Direct,2021-10-01,12
A0115,Agent 0115,R002,Broker,2018-04-08,9
A0116,Agent 0116,R002,Broker,2024-08-10,7
A0117,Agent 0117,R001,Direct,2024-12-18,12
A0118,Agent 0118,R004,Direct,2023-04-14,14
A0119,Agent 0119,R001,Direct,2025-08-14,15
A0120,Agent 0120,R004,Broker,2017-03-06,4
A0121,Agent 0121,R002,Direct,2021-07-08,3
A0122,Agent 0122,R001,Broker,2019-09-24,10
A0123,Agent 0123,R006,Corporate,2025-08-24,15
A0124,Agent 0124,R005,Direct,2024-07-07,5
A0125,Agent 0125,R003,Corporate,2020-05-28,5
A0126,Agent 0126,R004,Direct,2019-12-29,3
A0127,Agent 0127,R006,Direct,2025-07-16,12
A0128,Agent 0128,R003,Broker,2019-06-10,9
A0129,Agent 0129,R003,Broker,2022-12-11,4
A0130,Agent 0130,R001,Corporate,2021-09-11,11
A0131,Agent 0131,R003,Direct,2019-08-16,5
A0132,Agent 0132,R005,Direct,2025-05-18,4
A0133,Agent 0133,R006,Broker,2018-03-29,5
A0134,Agent 0134,R003,Broker,2020-12-05,7
A0135,Agent 0135,R001,Direct,2025-07-02,9
A0136,Agent 0136,R005,Corporate,2023-03-16,7
A0137,Agent 0137,R002,Direct,2023-11-27,13
A0138,Agent 0138,R006,Direct,2023-10-16,5
A0139,Agent 0139,R003,Corporate,2023-07-17,10
A0140,Agent 0140,R001,Broker,2018-05-07,10
A0141,Agent 0141,R002,Corporate,2021-06-24,7
A0142,Agent 0142,R002,Direct,2020-05-08,14
A0143,Agent 0143,R004,Broker,2021-10-24,15
A0144,Agent 0144,R005,Broker,2017-12-23,10
A0145,Agent 0145,R003,Corporate,2022-02-09,5
A0146,Agent 0146,R001,Direct,2021-11-21,3
A0147,Agent 0147,R004,Direct,2024-01-14,7
A0148,Agent 0148,R005,Direct,2021-11-17,13
A0149,Agent 0149,R004,Direct,2025-07-09,11
A0150,Agent 0150,R006,Direct,2024-10-20,11
