Policy_ID,Customer_ID,Product_ID,Agent_ID,Policy_Start_Date,Policy_End_Date,Premium_Amount,Sum_Assured,Policy_Status,Payment_Mode,Renewal_Status,Region_ID
POL0000055,C009719,P001,A0088,2022-12-22,2023-12-22,20303.94,519721.8,Expired,Quarterly,Renewed,R001
POL0000056,C007479,P002,A0135,2022-08-01,2023-08-01,20709.4,366238.81,Expired,Annual,Renewed,R004
POL0000057,C004718,P001,A0143,2024-10-03,2025-10-03,26755.53,708801.36,Active,Annual,Renewed,R004
POL0000058,C005342,P002,A0111,2025-04-18,2026-04-18,28266.12,393790.31,Expired,Quarterly,Renewed,R006
POL0000059,C013438,P001,A0114,2023-08-08,2024-08-07,11758.3,376664.14,Active,Annual,Not Renewed,R002
POL0000060,C004971,P002,A0007,2025-04-23,2026-04-23,24040.41,363046.77,Expired,Quarterly,Renewed,R002
POL0000061,C009002,P006,A0009,2025-08-21,2026-02-17,46431.21,636754.14,Expired,Quarterly,Renewed,R001
POL0000062,C013697,P001,A0115,2021-09-20,2022-09-20,18721.71,645870.51,Active,Monthly,Not Renewed,R006
POL0000063,C011482,P001,A0119,2021-12-22,2023-12-22,23711.98,772345.35,Active,Annual,Not Renewed,R003
POL0000064,C007882,P001,A0059,2024-07-29,2025-07-29,16660.64,430261.72,Active,Annual,Not Renewed,R002
POL0000065,C008276,P001,A0131,2026-03-12,2027-03-12,13002.13,411720.48,Cancelled,Annual,Not Renewed,R002
POL0000066,C009681,P001,A0114,2023-09-11,2025-12-05,23854.03,668829.08,Active,Quarterly,Renewed,R006
POL0000067,C002528,P001,A0060,2023-03-28,2024-03-27,26067.38,542527.82,Active,Monthly,Renewed,R001
POL0000068,C002057,P003,A0092,2024-10-25,2025-04-23,23076.11,657468.42,Active,Annual,Not Renewed,R003
POL0000069,C004860,P002,A0003,2023-02-28,2024-02-28,34113.48,766058.06,Expired,Annual,Renewed,R002
POL0000070,C004703,P002,A0132,2024-12-31,2026-12-31,35659.61,924927.9,Expired,Annual,Renewed,R002
POL0000071,C006806,P003,A0011,2022-08-13,2023-02-09,44542.13,1272237.22,Active,Quarterly,Renewed,R004
POL0000072,C006641,P001,A0102,2021-12-01,2022-12-01,12278.83,395653.32,Active,Quarterly,Renewed,R006
POL0000073,C010240,P004,A0136,2025-02-12,2026-02-12,6373.08,103640.26,Active,Annual,Not Renewed,R005
POL0000074,C001786,P002,A0073,2023-02-21,2024-02-21,21539.87,450613.75,Active,Quarterly,Renewed,R005
POL0000075,C002479,P003,A0004,2023-09-19,2024-09-18,32868.73,724689.47,Active,Quarterly,Renewed,R004
POL0000076,C007637,P006,A0117,2025-06-14,2026-06-14,45752.22,1273676.17,Active,Annual,Renewed,R002
POL0000077,C007845,P001,A0040,2023-03-30,2023-09-26,26711.29,518695.73,Active,Monthly,Renewed,R002
POL0000078,C002986,P005,A0012,2024-05-18,2025-05-18,33210.18,624427.82,Expired,Annual,Renewed,R003
POL0000079,C005657,P002,A0009,2022-12-07,2023-12-07,23930.85,215139.13,Expired,Annual,Not Renewed,R002
POL0000080,C008451,P002,A0050,2024-07-22,2025-07-22,27269.82,326241.72,Active,Annual,Renewed,R005
POL0000081,C014851,P003,A0010,2023-03-03,2025-03-02,27673.26,950189.08,Expired,Annual,Renewed,R003
POL0000082,C001732,P001,A0013,2025-09-11,2027-09-11,18057.24,296123.47,Expired,Monthly,Renewed,R004
POL0000083,C014838,P003,A0030,2021-01-25,2022-01-25,43029.78,1093348.78,Expired,Quarterly,Not Renewed,R004
POL0000084,C012589,P001,A0104,2024-07-05,2025-07-05,15979.91,449781.79,Expired,Annual,Renewed,R005
POL0000085,C012010,P001,A0083,2023-05-28,2024-05-27,22891.26,759862.94,Active,Annual,Not Renewed,R004
POL0000086,C007803,P001,A0064,2023-03-13,2024-03-12,23714.6,468846.34,Active,Monthly,Renewed,R002
POL0000087,C007292,P006,A0065,2021-09-06,2022-09-06,38209.83,1314906.35,Active,Quarterly,Renewed,R004
POL0000088,C004133,P002,A0007,2021-04-26,2023-04-26,25647.14,506760.04,Expired,Annual,Renewed,R006
POL0000089,C013858,P003,A0090,2024-02-21,2025-02-20,22307.17,223225.77,Expired,Annual,Renewed,R005
POL0000090,C008185,P004,A0077,2024-08-28,2025-08-28,10735.95,175155.22,Expired,Annual,Not Renewed,R006
POL0000091,C011708,P001,A0121,2024-12-23,2025-12-23,14517.34,507500.05,Active,Annual,Renewed,R001
POL0000092,C012234,P001,A0025,2022-01-14,2023-01-14,23713.68,220107.92,Expired,Quarterly,Not Renewed,R001
POL0000093,C004207,P005,A0101,2021-10-31,2022-04-29,52267.1,1117371.19,Active,Quarterly,Renewed,R005
POL0000094,C011103,P001,A0015,2025-05-28,2027-05-28,17694.28,541739.33,Active,Quarterly,Renewed,R005
POL0000095,C013529,P001,A0021,2022-11-05,2023-11-05,23283.4,780352.22,Expired,Annual,Not Renewed,R003
POL0000096,C008322,P002,A0012,2024-04-16,2025-04-16,22575.45,321434.99,Expired,Monthly,Renewed,R002
POL0000097,C013641,P002,A0090,2024-10-01,2025-10-01,17907.01,403118.19,Expired,Monthly,Renewed,R005
POL0000098,C003839,P004,A0024,2026-01-11,2027-01-11,10480.87,155259.26,Active,Quarterly,Not Renewed,R004
POL0000099,C014430,P001,A0123,2024-06-09,2025-06-09,21924.08,726897.17,Active,Annual,Renewed,R006
POL0000100,C010841,P006,A0118,2024-05-06,2025-05-06,41459.36,1102478.32,Expired,Monthly,Renewed,R004
POL0000101,C004575,P001,A0133,2023-02-19,2023-08-18,15011.95,520941.87,Expired,Annual,Renewed,R001
POL0000102,C010012,P004,A0062,2021-09-22,2022-09-22,5361.67,183636.53,Active,Monthly,Renewed,R005
POL0000103,C008960,P004,A0139,2023-11-11,2025-11-10,4845.91,127127.22,Active,Annual,Not Renewed,R004
POL0000104,C006280,P004,A0089,2021-05-07,2022-05-07,9595.46,148492.53,Expired,Annual,Renewed,R004
POL0000105,C007975,P002,A0099,2022-03-22,2023-03-22,16534.13,206691.14,Active,Monthly,Not Renewed,R005
POL0000106,C013355,P003,A0119,2022-07-03,2023-07-03,41153.8,1332413.32,Active,Annual,Renewed,R003
POL0000107,C010277,P001,A0092,2023-01-25,2024-01-25,23992.15,648681.97,Expired,Annual,Renewed,R001
POL0000108,C007707,P005,A0143,2024-07-20,2025-01-16,33543.75,784153.55,Active,Quarterly,Renewed,R003
POL0000109,C010421,P005,A0033,2024-12-13,2026-12-13,52088.93,969923.13,Active,Annual,Not Renewed,R002
POL0000110,C008009,P001,A0063,2023-06-29,2024-06-28,22632.09,200202.78,Expired,Monthly,Not Renewed,R001
POL0000111,C014925,P003,A0107,2025-11-23,2026-11-23,46391.71,1593890.71,Active,Monthly,Not Renewed,R006
POL0000112,C003775,P001,A0086,2021-06-06,2022-06-06,14102.74,390254.33,Cancelled,Annual,Renewed,R004
POL0000113,C000553,P004,A0119,2022-12-17,2023-06-15,9213.74,260089.42,Expired,Annual,Renewed,R003
POL0000114,C002196,P001,A0085,2023-01-07,2024-01-07,16938.96,218700.97,Expired,Annual,Renewed,R002
POL0000115,C010424,P002,A0041,2024-09-28,2026-09-28,15976.2,539474.22,Active,Annual,Renewed,R006
POL0000116,C012490,P003,A0137,2021-01-04,2022-01-04,30456.54,803961.72,Expired,Quarterly,Renewed,R006
POL0000117,C012441,P001,A0006,2022-09-30,2023-09-30,17580.54,229480.03,Active,Quarterly,Renewed,R002
POL0000118,C007235,P001,A0139,2024-04-15,2024-10-12,20712.04,464693.72,Active,Annual,Renewed,R002
POL0000119,C014287,P006,A0114,2022-11-07,2024-11-06,79686.33,1072072.92,Active,Annual,Renewed,R005
POL0000120,C000641,P002,A0119,2021-04-28,2022-04-28,28005.36,638309.18,Active,Monthly,Renewed,R002
POL0000121,C000241,P003,A0005,2025-08-02,2027-08-02,23218.08,799045.99,Expired,Annual,Renewed,R003
POL0000122,C010552,P002,A0068,2021-08-11,2023-08-11,29886.48,277294.37,Active,Annual,Not Renewed,R004
POL0000123,C012928,P003,A0138,2025-10-14,2026-10-14,32074.3,1074432.43,Active,Annual,Renewed,R004
POL0000124,C012559,P005,A0053,2023-02-19,2024-02-19,37672.17,1009271.34,Active,Annual,Renewed,R005
POL0000125,C011000,P001,A0105,2024-11-12,2025-11-12,15164.55,475152.59,Active,Monthly,Renewed,R002
POL0000126,C003024,P002,A0125,2026-03-13,2026-09-09,28533.59,312462.48,Expired,Annual,Not Renewed,R001
POL0000127,C000587,P002,A0108,2022-01-03,2024-01-03,-5000,295081.16,Active,Annual,Renewed,R002
POL0000128,C005753,P004,A0148,2023-04-09,2024-04-08,10802.11,354116.13,Expired,Annual,Renewed,R001
POL0000129,C004289,P002,A0033,2025-07-13,2026-01-09,31524.97,940371.88,Active,Monthly,Not Renewed,R002
POL0000130,C012371,P005,A0037,2025-08-06,2026-08-06,30050.47,769748.57,Expired,Monthly,Renewed,R001
POL0000131,C005386,P002,A0142,2022-10-13,2023-10-13,20219.38,495833.84,Active,Monthly,Not Renewed,R006
POL0000132,C003912,P001,A0113,2024-12-12,2025-12-12,16921.92,151251.38,Active,Monthly,Not Renewed,R002
POL0000133,C002516,P001,A0145,2021-01-03,2022-01-03,25768.07,859080.67,Active,Quarterly,Renewed,R005
POL0000134,C009929,P003,A0125,2025-08-30,2026-08-30,21506.08,705130.45,Active,Annual,Renewed,R005
POL0000135,C013063,P001,A0036,2024-12-10,2025-12-10,27107.33,583636.84,Cancelled,Quarterly,Renewed,R003
POL0000136,C014834,P001,A0037,2023-01-03,2024-01-03,16290.15,410761.29,Active,Monthly,Not Renewed,R006
POL0000137,C002874,P003,A0062,2023-11-11,2024-11-10,40972.07,550124.61,Expired,Annual,Renewed,R001
POL0000138,C001932,P006,A0062,2024-10-09,2025-04-07,49239.4,1124475.67,Active,Annual,Not Renewed,R001
POL0000139,C012600,P002,A0112,2025-08-26,2027-08-26,18620.66,594278.9,Expired,Annual,Not Renewed,R006
POL0000140,C000535,P001,A0052,2025-10-12,2026-10-12,16435.85,189678.09,Expired,Annual,Renewed,R002
POL0000141,C014055,P002,A0050,2022-05-09,2023-05-09,15866.02,382481.14,Active,Annual,Not Renewed,R004
POL0000142,C011497,P001,A0021,2025-05-31,2026-05-31,21951.51,246285.84,Expired,Monthly,Renewed,R004
POL0000143,C010432,P003,A0079,2021-01-15,2022-01-15,43560.36,897952.2,Expired,Annual,Renewed,R003
POL0000144,C006628,P002,A0027,2025-02-22,2026-02-22,15610.84,251022.41,Active,Quarterly,Renewed,R001
POL0000145,C001114,P004,A0052,2023-10-21,2024-10-20,8184.51,83636.17,Expired,Annual,Not Renewed,R004
POL0000146,C001216,P001,A0138,2025-05-29,2025-11-25,18311.08,196831.52,Expired,Quarterly,Not Renewed,R004
POL0000147,C004264,P001,A0038,2022-10-23,2023-04-21,23616.65,487473.72,Expired,Monthly,Renewed,R004
POL0000148,C009418,P004,A0130,2024-02-28,2025-02-27,5551.33,149970.94,Active,Annual,Renewed,R002
POL0000149,C008798,P005,A0065,2023-02-26,2025-02-25,39677.89,1261822.43,Cancelled,Annual,Renewed,R006
POL0000150,C011627,P005,A0149,2024-07-19,2025-07-19,56797.16,988003.03,Expired,Annual,Renewed,R003
POL0000151,C005605,P001,A0074,2025-08-29,2026-02-25,16492.66,508681.62,Expired,Monthly,Not Renewed,R003
POL0000152,C001408,P001,A0042,2025-03-15,2026-03-15,17395.82,295721.06,Expired,Annual,Renewed,R002
POL0000153,C003306,P001,A0086,2024-04-13,2025-04-13,25522.43,543938.75,Active,Monthly,Renewed,R006
POL0000154,C003617,P005,A0013,2021-12-21,2022-12-21,48993.77,1093336.3,Expired,Annual,Not Renewed,R005
POL0000155,C009139,P004,A0017,2025-08-26,2026-08-26,8127.48,218827.73,Cancelled,Annual,Not Renewed,R003
POL0000156,C002916,P002,A0047,2022-03-29,2024-03-28,15952.49,163692.24,Active,Quarterly,Not Renewed,R003
POL0000157,C005236,P002,A0029,2021-10-28,2022-04-26,18879.88,231942.65,Active,Monthly,Not Renewed,R001
POL0000158,C002155,P003,A0043,2025-03-22,2026-03-22,26779.71,665868.45,Active,Monthly,Renewed,R004
POL0000159,C007157,P004,A0011,2022-06-10,2023-06-10,8153.94,244547.13,Active,Monthly,Renewed,R003
POL0000160,C002784,P002,A0065,2025-10-22,2026-10-22,32786.39,780675.65,Expired,Monthly,Renewed,R001
POL0000161,C010898,P003,A0137,2024-01-02,2024-06-30,26744.28,734605.73,Cancelled,Annual,Renewed,R004
POL0000162,C014366,P003,A0089,2023-01-04,2023-07-03,24743.77,513527.86,Expired,Annual,Renewed,R001
POL0000163,C010553,P002,A0024,2022-07-17,2024-07-16,18924.77,392831.28,Active,Quarterly,Renewed,R005
POL0000164,C002579,P005,A0054,2025-11-01,2026-04-30,35936.81,967130.66,Expired,Annual,Not Renewed,R004
POL0000165,C003276,P002,A0147,2022-06-19,2023-06-19,20685.79,597910.29,Active,Annual,Not Renewed,R002
POL0000166,C000290,P001,A0123,2022-07-30,2024-07-29,20088.03,274348.83,Active,Annual,Renewed,R005
POL0000167,C013188,P001,A0086,2023-06-19,2024-06-18,17301.18,570721.22,Expired,Annual,Renewed,R001
POL0000168,C010264,P006,A0148,2022-02-23,2023-02-23,47611.03,1385802.35,Cancelled,Annual,Renewed,R002
POL0000169,C007239,P002,A0064,2021-12-28,2022-06-26,18225.23,561501.24,Active,Quarterly,Renewed,R002
POL0000170,C006128,P001,A0048,2024-04-01,2026-04-01,21884.64,445344.9,Expired,Annual,Not Renewed,R003
POL0000171,C010833,P001,A0086,2023-03-13,2025-03-12,17891,489540.84,Active,Annual,Renewed,R006
POL0000172,C005423,P001,A0079,2023-02-10,2023-08-09,23896.67,803295.96,Expired,Annual,Renewed,R006
POL0000173,C010727,P002,A0050,2023-01-13,2024-01-13,35386.24,565229.75,Active,Quarterly,Renewed,R005
POL0000174,C006514,P002,A0080,2026-02-22,2027-02-22,23506.92,717950.63,Active,Monthly,Renewed,R003
POL0000175,C004376,P003,A0006,2021-01-09,2022-01-09,42971.21,1496078.22,Cancelled,Annual,Renewed,R001
POL0000176,C008720,P001,A0099,2023-11-14,2024-11-13,17725.38,545101.17,Expired,Annual,Renewed,R005
POL0000177,C007449,P003,A0108,2024-06-23,2025-06-23,47784.45,482105.02,Cancelled,Monthly,Renewed,R002
POL0000178,C010323,P001,A0040,2024-01-14,2026-01-13,16373.05,503117.84,Active,Monthly,Renewed,R004
POL0000179,C014234,P002,A0112,2024-01-15,2025-01-14,26331.72,410840.96,Active,Annual,Not Renewed,R002
POL0000180,C008097,P002,A0139,2025-03-23,2026-03-23,15747.73,153599.91,Active,Monthly,Renewed,R004
POL0000181,C012622,P006,A0149,2023-09-15,2025-09-14,47699.63,700826.75,Active,Annual,Not Renewed,R006
POL0000182,C008940,P001,A0074,2021-09-20,2022-09-20,14158.31,159544.18,Expired,Annual,Renewed,R001
POL0000183,C013271,P002,A0030,2024-06-21,2025-06-21,31038.23,1030007.42,Active,Annual,Renewed,R002
POL0000184,C009311,P002,A0020,2026-03-06,2027-03-06,17119.46,235073.97,Expired,Annual,Renewed,R001
POL0000185,C000926,P002,A0030,2025-12-15,2026-12-15,28571.41,663197.09,Expired,Annual,Not Renewed,R006
POL0000186,C014903,P004,A0117,2024-04-28,2024-10-25,5746.02,180228.28,Active,Monthly,Renewed,R001
POL0000187,C009288,P002,A0104,2025-07-20,2026-07-20,32468.36,590664.14,Expired,Annual,Renewed,R003
POL0000188,C002646,P001,A0104,2022-12-30,2023-12-30,22399,595651.8,Expired,Annual,Renewed,R003
POL0000189,C003483,P002,A0102,2024-07-12,2025-07-12,32717.15,665085.06,Active,Annual,Not Renewed,R001
POL0000190,C002526,P002,A0008,2021-11-02,2022-11-02,17862.79,318345.39,Cancelled,Annual,Renewed,R001
POL0000191,C009826,P002,A0121,2022-01-25,2022-07-24,31627.09,799704.65,Expired,Annual,Renewed,R003
POL0000192,C002242,P005,A0129,2025-12-15,2026-06-13,40108.62,358064.53,Active,Annual,Not Renewed,R001
POL0000193,C008781,P005,A0111,2025-07-16,2027-07-16,46936.06,921750.95,Expired,Annual,Not Renewed,R006
POL0000194,C002688,P006,A0139,2023-10-08,2024-10-07,38694.7,396667.7,Active,Annual,Not Renewed,R001
POL0000195,C001226,P001,A0056,2023-03-08,2024-03-07,20984.54,541556.86,Active,Annual,Not Renewed,R001
POL0000196,C005977,P002,A0105,2025-11-28,2026-11-28,30113.46,915229.64,Active,Monthly,Not Renewed,R001
POL0000197,C002657,P001,A0124,2023-03-17,2024-03-16,27833.1,562852.39,Expired,Monthly,Not Renewed,R004
POL0000198,C005161,P005,A0111,2022-03-03,2023-03-03,58306.88,1263760.83,Active,Annual,Not Renewed,R002
POL0000199,C005275,P002,A0044,2023-05-23,2025-05-22,26000.53,693306.82,Expired,Annual,Renewed,R005
POL0000200,C014941,P005,A0070,2021-01-26,2023-01-26,35764.32,718627.23,Expired,Annual,Renewed,R002
POL0000201,C007993,P002,A0107,2024-03-06,2026-03-06,18755.22,218865.52,Active,Quarterly,Renewed,R004
POL0000202,C003444,P004,A0001,2023-06-19,2025-06-18,8139.5,214109.05,Expired,Annual,Renewed,R002
POL0000203,C008667,P001,A0040,2024-08-07,2026-08-07,19155.69,574021.79,Active,Quarterly,Not Renewed,R006
POL0000204,C004240,P001,A0022,2022-11-04,2023-11-04,20584.33,297562.09,Expired,Monthly,Renewed,R001
POL0000205,C013493,P001,A0133,2024-03-14,2025-03-14,19471.87,309779.55,Active,Monthly,Renewed,R001
POL0000206,C014059,P004,A0036,2026-02-01,2027-02-01,10237.45,355827.01,Expired,Annual,Not Renewed,R002
POL0000207,C011229,P001,A0028,2022-09-20,2023-09-20,23712.61,675202.07,Expired,Annual,Renewed,R001
POL0000208,C000547,P001,A0048,2023-04-09,2024-04-08,15090.48,142335.23,Expired,Quarterly,Not Renewed,R002
POL0000209,C000942,P004,A0150,2021-06-21,2021-12-18,8512.17,282547.82,Expired,Annual,Not Renewed,R004
POL0000210,C000208,P003,A0093,2023-06-25,2024-06-24,34493.95,981607.33,Active,Monthly,Not Renewed,R001
POL0000211,C014991,P006,A0094,2022-03-15,2023-03-15,75772.44,2212556.19,Active,Quarterly,Renewed,R002
POL0000212,C011803,P004,A0122,2022-09-08,2023-09-08,9664.1,168960.1,Expired,Quarterly,Not Renewed,R002
POL0000213,C005089,P003,A0067,2023-03-26,2024-03-25,27060.32,572352.01,Expired,Monthly,Renewed,R003
POL0000214,C006177,P001,A0087,2025-12-20,2026-12-20,19771.97,188589.24,Expired,Annual,Renewed,R005
POL0000215,C007756,P005,A0128,2021-03-10,2022-03-10,45435.42,1135530.65,Active,Annual,Renewed,R004
POL0000216,C014030,P002,A0145,2023-02-25,2025-02-24,23038,630205.11,Active,Annual,Renewed,R004
POL0000217,C002314,P004,A0131,2024-09-08,2025-09-08,4585.88,109856.71,Active,Quarterly,Not Renewed,R003
POL0000218,C002986,P001,A0067,2021-01-22,2022-01-22,27811.55,863967.18,Expired,Quarterly,Not Renewed,R003
POL0000219,C010149,P002,A0022,2021-10-03,2022-10-03,21413.95,696801.18,Active,Annual,Not Renewed,R004
POL0000220,C006077,P005,A0136,2023-02-08,2024-02-08,51580.68,956730.84,Expired,Monthly,Renewed,R004
POL0000221,C009199,P001,A0046,2023-03-12,2024-03-11,26075.27,549543.19,Active,Annual,Not Renewed,R005
POL0000222,C012245,P001,A0016,2023-05-15,2024-05-14,15877.25,440835.31,Expired,Monthly,Renewed,R004
POL0000223,C008420,P006,A0105,2022-01-16,2023-01-16,77088.29,1496892.49,Active,Annual,Renewed,R004
POL0000224,C013127,P002,A0007,2025-04-01,2027-04-01,17083.86,149892.54,Expired,Monthly,Renewed,R001
POL0000225,C006348,P005,A0045,2023-06-18,2024-06-17,49502.8,775993.7,Active,Annual,Renewed,R001
POL0000226,C013844,P002,A0117,2024-11-19,2025-11-19,22476.99,360294.08,Active,Annual,Not Renewed,R005
POL0000227,C002594,P001,A0076,2024-03-08,2025-03-08,19786.24,566981.09,Expired,Monthly,Renewed,R005
POL0000228,C000607,P002,A0085,2025-02-26,2026-02-26,36626.03,409887.65,Active,Annual,Not Renewed,R001
POL0000229,C005510,P005,A0133,2025-10-08,2026-10-08,45472.77,659015.48,Active,Annual,Renewed,R003
POL0000230,C014573,P002,A0094,2024-04-14,2025-04-14,30592.17,425200.09,Cancelled,Monthly,Renewed,R006
POL0000231,C000554,P003,A0141,2023-03-25,2024-03-24,45626.3,453831.87,Expired,Monthly,Renewed,R003
POL0000232,C008452,P003,A0029,2025-02-28,2026-02-28,21971.28,193080.36,Expired,Annual,Renewed,R001
POL0000233,C001936,P002,A0041,2023-05-02,2024-05-01,19759.56,641343.92,Active,Annual,Not Renewed,R006
POL0000234,C010472,P003,A0018,2024-08-09,2025-08-09,44712.25,906941.57,Expired,Annual,Renewed,R006
POL0000235,C007646,P003,A0127,2024-11-28,2026-11-28,24330.56,438135.84,Active,Monthly,Renewed,R003
POL0000236,C009504,P003,A0147,2021-04-18,2022-04-18,28919.44,782176.91,Active,Annual,Renewed,R003
POL0000237,C008092,P002,A0112,2023-02-18,2025-02-17,31664.94,338499.99,Expired,Monthly,Renewed,R004
POL0000238,C000707,P002,A0108,2023-07-16,2024-01-12,21999.58,274981.98,Active,Monthly,Renewed,R004
